,Category_ID,Title,Description,Address,Coordinates,Status_value,Status_label,Url
0,57,"Suceava, Târgu Mureș, judetul: Mures","Ambele trotuare ale strazii Suceava, in apropierea Cimitirului evreiesc sunt ocupate de Masinile firmei de inchirieri MF rent a car. Uneori are 15 masini parcate. Oare plătește impozite pentru fiecare loc de parcare ?","Romania, Mures, Târgu Mureș, Suceava","46.5318219, 24.5605755",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/suceava-targu-mures-mures/
1,57,"Suceava, Târgu Mureș, judetul: Mures","autoturism ms 13 gjo abandonat, vizavi de Cimitirul evreiesc, ocupă loc de parcare","Romania, Mures, Târgu Mureș, Suceava","46.5318219, 24.5605755",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/suceava-targu-mures-mures-2/
2,44,"Pasajul Mimozelor Nr 1, Târgu Mureș, judetul: Mures",Am dori sa vedem daca exista posibilitatea pentru renovarea caii de acces de pe Blvd 1 Dec 1918 către blocul aflat pe Pasajul Mimozelor Nr. 1. Suntem foarte multi locatari care parchează in fata blocului și tranzitam zilnic aceste trepte. Nu ar strica daca s-ar putea face inclusiv o rampa pentru cărucioare copii și schimbat trepte plus balustrada. Mulțumesc,"Romania, Mures, Târgu Mureș, Pasajul Mimozelor Nr 1","46.53847314771793, 24.56418514251709",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/pasajul-mimozelor-nr-1-targu-mures-mures-2/
3,44,"Secuilor Martiri &#8211; scurgerea apei, Târgu Mureș, judetul: Mures","A víz forráshoz is kell utcai lámpa. A parkban van világítás, onnan simán át lehet húzni a forráshoz is az égőt, hogy este lehessen látni (pl. téli időjáráskor is)","Romania, Mures, Târgu Mureș, Secuilor Martiri - scurgerea apei","46.556504, 24.5761983",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/secuilor-martiri-scurgerea-apei-targu-mures-mures/
4,44,"Intre Movile, Târgu Mureș, judetul: Mures",Drum neasfaltat cu gropi mari!,"Romania, Mures, Târgu Mureș, Intre Movile","46.538112, 24.6072183",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/intre-movile-targu-mures-mures/
5,57,"Str.Parangului 2, Târgu Mureș, judetul: Mures","Zona de la scarile FURNICA urcare spre Str.Magurei -Str.Parangului in stare dezastruoasa, inclusiv starea scarilor , respectiv asa zis parc de joaca.","Romania, Mures, Târgu Mureș, Str.Parangului 2","46.535621, 24.560997",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/str-parangului-2-targu-mures-mures/
6,52,"Godeanu, bl. 28, Târgu Mureș, judetul: Mures","În bucla pe care o face strada Godeanu, gunoiul este pus pe carosabil sau în containere care nu sînt ţinute în construcţia metalică special destinată acestui scop, după cum se vede şi în fotografia făcută în 17.03.2020. Comparativ, în 2012 gunoiul stătea la locul lui ...","Romania, Mures, Târgu Mureș, Godeanu, bl. 28","46.52525199999999, 24.554159",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/godeanu-bl-28-targu-mures-mures/
7,57,"Bd. 1 Decembrie 1918 nr. 219, Târgu Mureș, judetul: Mures","Semaforul de la Fortuna este stricat din cauza accidentului de acum o saptamana. Traficul e infernal in intersectie; pietonii sunt pusi in pericol la traversarea strazilor, nu mai zic de copii. Este nevoie urgenta de repararea semaforului la Fortuna !","Romania, Mures, Târgu Mureș, Bd. 1 Decembrie 1918 nr. 219","46.5352179, 24.5838776",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/bd-1-decembrie-1918-nr-219-targu-mures-mures-2/
8,56,"rozmarinului, 1, Târgu Mureș, judetul: Mures",La intersectia dintre strazile Rozmarinului si Gheorghe Doja nu merge culoare verde a semaforului de la trecerea de pietoni.,"Romania, Mures, Târgu Mureș, rozmarinului, 1","46.5260062, 24.5361727",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/rozmarinului-1-targu-mures-mures/
9,56,"Gheorghe Doja 64-68, Târgu Mureș, judetul: Mures",Construirea unei statii de autobuz interjudetean cu acoperis .Vara oamenii stau pe o caldura insuportabila si cand ploua nu au nici un acoperis deasupra capului.,"Romania, Mures, Târgu Mureș, Gheorghe Doja 64-68","46.5268568, 24.5414245",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/gheorghe-doja-64-68-targu-mures-mures/
